ticker_a,ticker_b,beta,adf_stat,adf_pvalue
MSFT,ORCL,0.7181270032872663,-3.4402338438181577,0.00966141990237331
MSFT,CSCO,1.524221251654287,-3.00942209677662,0.034023814709998275
GOOG,CSCO,1.570772932478243,-2.9827407712375074,0.036537934237146207
NVDA,ORCL,2.273791169505404,-2.92327229772817,0.042707905728466215
META,CRM,1.8619225775707913,-2.8892852970990135,0.046608234280447
MSFT,NVDA,0.310654923888808,-2.8594162871071704,0.05027496486992104
AAPL,INTC,-0.649930520657515,-2.854065462485507,0.05095624685990338
AAPL,CSCO,1.4810156890842516,-2.792910508898277,0.059293609141607855
ORCL,CSCO,2.129834213453191,-2.766418338389237,0.06323308789594038
AMD,ORCL,0.650510537261049,-2.728412295220196,0.06924941851386728
MSFT,AMD,0.7889858046141905,-2.71743688211833,0.07106922428693997
AAPL,GOOG,0.9455700179884192,-2.6967495505793924,0.07460242968194594
MSFT,GOOG,0.9555041790705243,-2.695344923568724,0.07484727043127416
AMD,CSCO,1.3235559962844727,-2.6345701934132086,0.08606070395829019
INTC,ORCL,-0.5860242905180145,-2.5776577870179,0.09770342675754073
GOOG,AMD,0.7550586722243706,-2.56440766953012,0.10057884019351243
GOOG,ORCL,0.673014644623612,-2.5561188160106636,0.10240993703857088
AMD,INTC,-0.34685843107288394,-2.451268243559466,0.1277858150731075
NVDA,CSCO,4.584951881138615,-2.4252339426029996,0.13474059712447606
MSFT,INTC,-0.5748041666382093,-2.4167625695375943,0.13706108138375245
AAPL,AMD,0.7581525781250685,-2.398353848291256,0.1422015619922114
AMD,QCOM,1.1823710867967314,-2.3956619311824676,0.14296454193664865
GOOG,NVDA,0.2877444387957398,-2.394363068784792,0.14333371574694181
CRM,CSCO,0.8215131432165581,-2.37518690451869,0.14886252840476877
CRM,QCOM,0.6064544812839655,-2.369043447274272,0.15066493221812766
INTC,CSCO,-1.0231112399215614,-2.363633429663636,0.15226470358402705
AAPL,META,0.4177994505564966,-2.345722020318493,0.15764526066358858
MSFT,META,0.5033889330232936,-2.3149509793634735,0.16719131339873683
AMD,CRM,1.1128167245298974,-2.3104463280042746,0.16862095459819681
AAPL,NVDA,0.29587326570326455,-2.2069801895666705,0.20372181215267698
AAPL,QCOM,1.0504650105664257,-2.1971930011784546,0.20726581250768505
AAPL,ORCL,0.6928053605493762,-2.194409237993305,0.208280834990346
GOOG,QCOM,1.0367997785032166,-2.170468452209303,0.21713772256900737
GOOG,META,0.49202209267747754,-2.1405837291151166,0.22851176891076208
AAPL,CRM,0.8251254962919311,-2.1168109003604183,0.23780880204233357
GOOG,INTC,-0.48838806130787193,-2.116804126638015,0.237811482238668
NVDA,INTC,-2.030698869016834,-1.874386075401613,0.34420496425344926
META,CSCO,1.9935405040348897,-1.8400584012095296,0.36076287086003483
META,NVDA,0.409815368607176,-1.79740248402658,0.38175204865122064
META,ORCL,0.9010669125179167,-1.7939693157769048,0.3834598448023451
ADBE,CRM,0.5937110388409425,-1.77270996948286,0.3940921080046923
ADBE,ORCL,0.1313478958352332,-1.7635698186156608,0.39869229248562704
ADBE,QCOM,0.3787702014219035,-1.7414554378139337,0.40988980730591235
ADBE,CSCO,0.356447024337586,-1.7260956215156718,0.41771984996545175
INTC,ADBE,0.4772662397376999,-1.7188178698931904,0.4214439522577983
NVDA,AMD,2.2839588228684526,-1.7137540801089548,0.4240402566526279
GOOG,CRM,0.9570614621398637,-1.6536038078719184,0.45516161620945056
AAPL,MSFT,0.9612514035371996,-1.6503587497491556,0.45685333281760077
META,AMD,0.963171503068688,-1.6155097464157333,0.4750841366890719
CSCO,QCOM,0.39445248810480676,-1.5526609659858233,0.5073187397791232
INTC,QCOM,-0.5333250601094318,-1.4851167875300737,0.5408605843283885
MSFT,QCOM,0.9880853380690302,-1.3964704131325,0.5839670721767265
AAPL,ADBE,0.5476300712660964,-1.3862626974804064,0.5888439481005868
NVDA,CRM,2.970252524541178,-1.2997683342395456,0.6292782943826976
MSFT,CRM,0.934567632650719,-1.2910901391608407,0.6332386636175494
INTC,CRM,-0.2728046641804703,-1.2795220227184996,0.6384881689558008
META,INTC,-0.5119944261294551,-1.0754136642503396,0.7247764151018721
AMD,ADBE,1.0504676377875826,-1.0503538915476156,0.7344590074302618
NVDA,QCOM,2.881933494721159,-0.9196010919593581,0.7814489853433748
META,QCOM,1.1894659000749093,-0.8115166491407162,0.8157157093773775
ORCL,CRM,1.1455860933363051,-0.57437156907517,0.8766684874568746
ORCL,QCOM,1.1253272646471857,-0.45471060440109456,0.9005555567671184
GOOG,ADBE,0.6947859604085542,-0.2225438370526247,0.9357805584402239
MSFT,ADBE,0.6043726381810401,0.4599996287877787,0.9836052481412939
META,ADBE,1.1665606685631271,0.5764221543533787,0.9870198255770438
NVDA,ADBE,1.4594417260091384,0.8402367987431745,0.9922586706505618
